date,year,region,category,commodity,unit,pricetype,currency,price,price_zscore
2018-01-15,2018,BARMM,cereals and tubers,Potatoes (Irish),KG,Retail,PHP,65.08,-0.600721932221871
2018-01-15,2018,BARMM,cereals and tubers,"Rice (regular, milled)",KG,Retail,PHP,39.2,-0.8793834248973071
2018-01-15,2018,BARMM,cereals and tubers,Sweet potatoes,KG,Retail,PHP,39.08,-0.8806755183718454
2018-01-15,2018,BARMM,"meat, fish and eggs",Eggs,Unit,Retail,PHP,5.65,-1.2406312254869858
2018-01-15,2018,BARMM,"meat, fish and eggs",Fish (fresh),KG,Retail,PHP,164.46,0.46934681360830116
2018-01-15,2018,BARMM,"meat, fish and eggs","Meat (chicken, whole)",KG,Retail,PHP,165.85,0.4843135630217035
2018-01-15,2018,BARMM,pulses and nuts,Beans (mung),KG,Retail,PHP,79.2,-0.4486856000511924
2018-01-15,2018,BARMM,vegetables and fruits,Cabbage,KG,Wholesale,PHP,55.87,-0.6998901063926888
2018-01-15,2018,BARMM,vegetables and fruits,Onions (red),KG,Retail,PHP,115.85,-0.054058718035939896
2018-01-15,2018,BARMM,vegetables and fruits,Tomatoes,KG,Retail,PHP,35.85,-0.9154543677281692
2018-01-15,2018,BARMM,vegetables and fruits,Tomatoes,KG,Wholesale,PHP,31.4,-0.9633695007422994
2018-01-15,2018,CAR,cereals and tubers,Potatoes (Irish),KG,Retail,PHP,52.85,-0.7324077921685705
2018-01-15,2018,CAR,cereals and tubers,Sweet potatoes,KG,Retail,PHP,60.31,-0.6520826478347701
2018-01-15,2018,CAR,"meat, fish and eggs",Eggs,Unit,Retail,PHP,5.7,-1.240092853205928
2018-01-15,2018,CAR,"meat, fish and eggs",Fish (fresh),KG,Retail,PHP,136,0.16290531123029045
2018-01-15,2018,CAR,"meat, fish and eggs","Meat (beef, chops with bones)",KG,Retail,PHP,270,1.6057430244647746
2018-01-15,2018,CAR,"meat, fish and eggs","Meat (chicken, whole)",KG,Retail,PHP,190,0.7443473747725453
2018-01-15,2018,CAR,"meat, fish and eggs",Meat (pork),KG,Retail,PHP,220,1.0673707434071313
2018-01-15,2018,CAR,vegetables and fruits,Cabbage,KG,Retail,PHP,54.08,-0.7191638340545525
2018-01-15,2018,CAR,vegetables and fruits,Cabbage,KG,Wholesale,PHP,23.46,-1.0488630189742532
2018-01-15,2018,CAR,vegetables and fruits,Carrots,KG,Retail,PHP,84.15,-0.3953867442264857
2018-01-15,2018,CAR,vegetables and fruits,Carrots,KG,Wholesale,PHP,37.68,-0.8957499422414594
2018-01-15,2018,CAR,vegetables and fruits,Garlic,KG,Retail,PHP,285.38,1.7713463381181058
2018-01-15,2018,CAR,vegetables and fruits,Tomatoes,KG,Retail,PHP,43.92,-0.8285610815654656
2018-01-15,2018,NCR,cereals and tubers,Maize flour (yellow),KG,Retail,PHP,30.24,-0.9758597376628368
2018-01-15,2018,NCR,cereals and tubers,Potatoes (Irish),KG,Retail,PHP,68.12,-0.5679888975335662
2018-01-15,2018,NCR,cereals and tubers,"Rice (milled, superior)",KG,Retail,PHP,42.13,-0.8478348092273292
2018-01-15,2018,NCR,cereals and tubers,"Rice (regular, milled)",KG,Wholesale,PHP,38.02,-0.8920890107302674
2018-01-15,2018,NCR,cereals and tubers,Sweet potatoes,KG,Retail,PHP,50.73,-0.7552347768854146
2018-01-15,2018,NCR,"meat, fish and eggs",Fish (fresh),KG,Retail,PHP,143.24,0.2408616175274373
2018-01-15,2018,NCR,"meat, fish and eggs","Meat (beef, chops with bones)",KG,Retail,PHP,278.38,1.6959742187700357
2018-01-15,2018,NCR,"meat, fish and eggs",Meat (pork),KG,Retail,PHP,212.64,0.988122343635446
2018-01-15,2018,NCR,pulses and nuts,Beans (mung),KG,Retail,PHP,89.53,-0.3374578867846833
2018-01-15,2018,NCR,vegetables and fruits,Carrots,KG,Retail,PHP,65.84,-0.5925386735497947
2018-01-15,2018,NCR,vegetables and fruits,Garlic,KG,Retail,PHP,292.81,1.8513484590832716
