region,year,avg_income_thousands,income_zscore
NCR,2018,460.38,2.488069871579228
NCR,2021,417.85,1.8458313489709195
NCR,2023,513.52,3.290528256046793
CAR,2018,353.92,0.8804349523015281
CAR,2021,350.43,0.8277330373261459
CAR,2023,359.24,0.9607713957597035
REGION I,2018,286.98,-0.13041495842972553
REGION I,2021,304.84,0.13928595889414877
REGION I,2023,339.69,0.6655500668861448
REGION II,2018,265.03,-0.46187829187088275
REGION II,2021,290.12,-0.08299833578711839
REGION II,2023,310.55,0.22551172809455952
REGION III,2018,333.97,0.5791732893333701
REGION III,2021,328.54,0.4971757539991795
REGION III,2023,375.24,1.20238475954369
REGION IV-A,2018,384.17,1.3372352182056277
REGION IV-A,2021,361.03,0.9878018908330365
REGION IV-A,2023,426.53,1.9769065988237313
REGION IV-B,2018,257.43,-0.5766446396682758
REGION IV-B,2021,255.08,-0.6121316024740487
REGION IV-B,2023,267.36,-0.4266933457698391
REGION V,2018,234.93,-0.9164134324895069
REGION V,2021,252.01,-0.6584911666501015
REGION V,2023,287.47,-0.12301554916384082
REGION VI,2018,283.12,-0.1887041824426125
REGION VI,2021,292.4,-0.04856843144790072
REGION VI,2023,320.23,0.3716878131838715
REGION VII,2018,317.8,0.33499278355917844
REGION VII,2021,292.6,-0.045548264400600204
REGION VII,2023,326.94,0.4730144176207805
REGION VIII,2018,226.63,-1.0417503649524502
REGION VIII,2021,242.93,-0.7956067505975136
REGION VIII,2023,267.33,-0.4271463708269345
REGION IX,2018,227.8,-1.024082387725746
REGION IX,2021,238.56,-0.8615974005810151
REGION IX,2023,257.14,-0.5810238818868609
REGION X,2018,250.36,-0.6834075447903248
REGION X,2021,257.46,-0.5761916146111813
REGION X,2023,296.5,0.013344993021746172
REGION XI,2018,269.91,-0.38818621591676605
REGION XI,2021,281.88,-0.2074292181358716
REGION XI,2023,318.95,0.3523587440811521
REGION XII,2018,242.74,-0.7984759092924485
REGION XII,2021,234.97,-0.9158093990800471
REGION XII,2023,282.44,-0.19897275040343204
REGION XIII,2018,242.75,-0.7983249009400836
REGION XIII,2021,249.77,-0.6923170375798594
REGION XIII,2023,276.57,-0.28761465324168217
BARMM,2018,166.93,-1.9432702285714496
BARMM,2021,188.53,-1.617092187463068
BARMM,2023,206.88,-1.3399918608733086
