"Table 1. Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023,,,,,,,,,,,Percent Change (2018 to 2021),,,,,,,,,,,Percent Change (2021 to 2023),,,,,,,,,,
,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,313.45,113.58,144.45,168.16,197.33,225.1,262.6,308.34,370.83,475.95,867.63,307.19,116.02,152.14,175.86,202.66,227.68,261.78,302.94,361.62,457.16,813.91,353.23,143.28,182.61,208.43,241.18,272.09,308.69,351.73,416.23,512.54,895.47,-2,2.2,5.3,4.6,2.7,1.2,-0.3,-1.8,-2.5,-4,-6.2,15,23.5,20,18.5,19,19.5,17.9,16.1,15.1,12.1,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL CAPITAL REGION,460.38,211.23,264.88,304.66,336.71,374.69,410.81,471.34,522.18,636.06,1071.24,417.85,219.71,261.44,294.7,322.44,356.76,382.93,423,483.35,535.24,898.37,513.52,260.06,323.17,352.3,390.67,426.1,468.61,518.02,574.27,645.14,1176.55,-9.2,4,-1.3,-3.3,-4.2,-4.8,-6.8,-10.3,-7.4,-15.9,-16.1,22.9,18.4,23.6,19.6,21.2,19.4,22.4,22.5,18.8,20.5,31
NCR I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Manila,423.15,198.6,257.87,301.58,353.09,352.24,406.58,453.03,490.61,553.01,864.25,413.68,259.4,289.79,308.81,350.02,371.01,379.13,435.2,471.94,537.82,732.6,482.79,237.11,328.27,363.72,395.19,407.63,446.57,502.23,596.65,612.17,935.19,-2.2,30.6,12.4,2.4,-0.9,5.3,-6.8,-3.9,-3.8,-2.8,-15.2,16.7,-8.6,13.3,17.8,12.9,9.9,17.8,15.4,26.4,13.8,27.7
NCR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Mandaluyong,666.56,233.6,303.73,336.5,404.25,412.36,495.74,549.35,659.75,900.93,2368.44,476.56,304.96,322.88,338.81,396.88,411.17,453.34,466.98,563.35,592.16,912.87,666.02,336.93,398.45,474.95,469.4,528.76,574.47,644.76,804.87,888.27,1533.5,-28.5,30.6,6.3,0.7,-1.8,-0.3,-8.6,-15,-14.6,-34.3,-61.5,39.8,10.5,23.4,40.2,18.3,28.6,26.7,38.1,42.9,50,68
City of San Juan,588.49,231.43,314.65,334.81,372.2,457.5,483.83,571.02,556.36,713.7,1842.76,549.37,306.06,323.34,425.74,405.76,510.69,435.78,590.75,562.73,712.08,1211.96,842.81,328.65,488.36,514.95,519.8,628.18,664.25,788.83,809.56,1328.18,2149.94,-6.7,32.3,2.8,27.2,9,11.6,-9.9,3.5,1.2,-0.2,-34.2,53.4,7.4,51,21,28.1,23,52.4,33.5,43.9,86.5,77.4
